country,year,pop,gdpPercap
Austria,1952,1.0,1.0
Austria,1957,1.0054978714657468,1.4408485932229764
Austria,1962,1.0235439701630524,1.2157876082941206
Austria,1967,1.0346618112210837,1.1938364197785425
Austria,1972,1.0226654528034302,1.2981801134719997
Austria,1977,1.0032116058413607,1.185323855794719
Austria,1982,1.000816946183026,1.0935552084477935
Austria,1987,1.0005663655687755,1.0968067025523698
Austria,1992,1.0443423012538886,1.141599849648001
Austria,1997,1.019571396931561,1.0759522432221027
Austria,2002,1.0097196041178327,1.1141633244335358
Austria,2007,1.006316768430075,1.1144095839972823
France,1952,1.0,1.0
France,1957,1.043598928837572,1.2323001229532495
France,1962,1.0634863961011096,1.2190565391518788
France,1967,1.0518843901196842,1.2309962096979454
France,1972,1.0436361435574653,1.239022594701573
France,1977,1.0277008234748317,1.135681220497499
France,1982,1.0238605388253506,1.1094026259575853
France,1987,1.0219815659694529,1.087343728995071
France,1992,1.0313513547521935,1.1195187694177144
France,1997,1.0217737146182082,1.0480083592334857
France,2002,1.0222028469573632,1.1172758864257029
France,2007,1.0193388456093517,1.0533769838134668
Germany,1952,1.0,1.0
Germany,1957,1.0270893225969324,1.4260447257090831
Germany,1962,1.0383002486275905,1.2664588192615154
Germany,1967,1.0356572753644446,1.1428535553914643
Germany,1972,1.0307539947155928,1.221798297780056
Germany,1977,0.9929327289139558,1.1385832580814867
Germany,1982,1.0022324881561753,1.0740319476184133
Germany,1987,0.9921240070851358,1.11836003199476
Germany,1992,1.0370500393613868,1.0757377916523236
Germany,1997,1.0175353375808291,1.048427327232115
Germany,2002,1.0041408798541143,1.0808567126000066
Germany,2007,1.0006111061317278,1.071067602637058
Italy,1952,1.0,1.0
Italy,1957,1.0318046406243444,1.2671150113836092
Italy,1962,1.0337765849294458,1.319256818415419
Italy,1967,1.0358730371023066,1.2157822772471996
Italy,1972,1.032249051115402,1.2241850431351367
Italy,1977,1.0311535625750152,1.1619257183125635
Italy,1982,1.0084979917228638,1.160037962302113
Italy,1987,1.0034326490994105,1.161436370896455
Italy,1992,1.0019591852966339,1.1461121325531853
Italy,1997,1.0112352653717493,1.1208968172660891
Italy,2002,1.0077859104787485,1.1334577688195735
Italy,2007,1.0038105547294103,1.0215109917858245
Switzerland,1952,1.0,1.0
Switzerland,1957,1.0645898234683282,1.2155020240195407
Switzerland,1962,1.1053452984783456,1.1407970304020494
Switzerland,1967,1.070067066713731,1.1240781223610228
Switzerland,1972,1.0558139534883721,1.1841392556397556
Switzerland,1977,0.9867254038179148,0.9921742366105641
Switzerland,1982,1.0240170704183253,1.0524575405839194
Switzerland,1987,1.0281095328074932,1.0663429949219099
Switzerland,1992,1.0519560922486242,1.0525011960695572
Switzerland,1997,1.02834901043493,1.0082767506773909
Switzerland,2002,1.0233530138129414,1.072992410851762
Switzerland,2007,1.0262035272286223,1.0877429619399048
